content,cleaned_text,tokenized_raw_text,tokenized_preprocessed_text,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
Apl gk bisa no yg tertera juga cuma di baca tanpa respone,apl tidak no tera cuma baca respone,"['apl', 'gk', 'bisa', 'no', 'yg', 'tertera', 'juga', 'cuma', 'di', 'baca', 'tanpa', 'respone']","['apl', 'tidak', 'no', 'yg', 'tera', 'cuma', 'baca', 'respone']",2,0,,2024-01-27 11:31:54,"Halo kak, mohon maaf atas ketidaknyamanannya. Akan menjadi perhatian dan perbaikan kami kedepan. Terkait kendala yang dialami mohon dapat dijelaskan melalui layanan Whatsapp kami ke nomor 081121100825. Terima kasih",2024-01-29 10:16:41
Kaga jelas ni aplikasi. Mau pesen tiket gambir ke soeta malah kaga ada rutenya.. adanya ke lampung....,kaga jelas ni aplikasi mau sen tiket gambir soeta malah kaga rute ke lampung,"['kaga', 'jelas', 'ni', 'aplikasi', 'mau', 'pesen', 'tiket', 'gambir', 'ke', 'soeta', 'malah', 'kaga', 'ada', 'rutenya', 'adanya', 'ke', 'lampung']","['kaga', 'jelas', 'ni', 'aplikasi', 'mau', 'sen', 'tiket', 'gambir', 'soeta', 'malah', 'kaga', 'rute', 'ke', 'lampung']",1,0,,2024-01-26 14:01:31,"Halo kak, mohon maaf atas ketidaknyamanannya. Untuk rute Bandara pada Aplikasi DAMRI Apps boleh di klik pada tab Bandara. Terkait kendala yang dialami mohon dapat dijelaskan melalui layanan Whatsapp kami ke nomor 081121100825. Terima kasih",2024-01-26 16:23:16
Yang terburuk di bagian pengambilan barang selalu minta dengan ikhlas sukarela uang jasa nunggu. Apakah mreka tidak di gaji oleh DAMRI...,buruk bagi ambil barang selalu minta ikhlas sukarela uang jasa nunggu mreka di gaji damri,"['yang', 'terburuk', 'di', 'bagian', 'pengambilan', 'barang', 'selalu', 'minta', 'dengan', 'ikhlas', 'sukarela', 'uang', 'jasa', 'nunggu', 'apakah', 'mreka', 'tidak', 'di', 'gaji', 'oleh', 'damri']","['buruk', 'bagi', 'ambil', 'barang', 'selalu', 'minta', 'ikhlas', 'sukarela', 'uang', 'jasa', 'nunggu', 'mreka', 'di', 'gaji', 'damri']",1,0,3.2.8,2024-01-26 01:22:43,"Halo kak, mohon maaf atas ketidaknyamanannya. Boleh dibantu untuk kejadiannya dimana dan rute mana kak? untuk Mohon dapat disampaikan terkait kronologi kejadiannya melalui layanan whatsapp pengaduan kami ke nomor 081121100825 atau call center kami ke nomor 1500825. Terima kasih",2024-01-26 16:27:21
Susah cari trayek yg diinginkan,susah cari trayek,"['susah', 'cari', 'trayek', 'yg', 'diinginkan']","['susah', 'cari', 'trayek', 'yg']",3,0,3.2.8,2024-01-25 20:41:01,"Halo kak, mohon maaf atas ketidaknyamanannya, akan menjadi perhatian dan perbaikan kami. Mohon dapat disampaikan terkait kendalanya melalui layanan whatsapp kami ke no 0811221100825 kak. Terima kasih",2024-01-29 10:12:27
Masak bandara juanda dan terminal Purabaya ga ada? Hellow aplikasi jaman kapan ini,masak bandara juanda terminal purabaya tidak hellow aplikasi jaman kapan,"['masak', 'bandara', 'juanda', 'dan', 'terminal', 'purabaya', 'ga', 'ada', 'hellow', 'aplikasi', 'jaman', 'kapan', 'ini']","['masak', 'bandara', 'juanda', 'terminal', 'purabaya', 'tidak', 'hellow', 'aplikasi', 'jaman', 'kapan']",1,0,3.2.8,2024-01-25 05:56:24,"Halo kak, mohon maaf atas ketidaknyamanannya. Akan menjadi perhatian dan perbaikan kami kedepannya. Mohon dapat dijelaskan terkait kendalanya melalui Layanan Whatsapp ke nomor 081121100825. Terima kasih",2024-01-25 13:29:16
"Uninstal aja,di aplikasi hanya kota kota tertentu saja semisal Jabodetabek,yang yongja ga ada",uninstal ajadi aplikasi kota kota saja misal jabodetabekyang yongja tidak,"['uninstal', 'ajadi', 'aplikasi', 'hanya', 'kota', 'kota', 'tertentu', 'saja', 'semisal', 'jabodetabekyang', 'yongja', 'ga', 'ada']","['uninstal', 'ajadi', 'aplikasi', 'kota', 'kota', 'saja', 'misal', 'jabodetabekyang', 'yongja', 'tidak']",3,0,,2024-01-24 18:11:49,"Halo kak, mohon maaf atas ketidaknyamanannya. Akan menjadi perhatian dan perbaikan kami kedepannya. Boleh dibantu untuk rute yogya tujuan kemana kak?. Mohon dapat dijelaskan terkait kendalanya melalui Layanan Whatsapp ke nomor 081121100825. Terima kasih",2024-01-25 13:19:50
"Sayang, Transportasi sangat penting buat kemajuan Bangsa, pembelian tiket harus nya bisa online disemua Rute, misal Manado kotamobagu bisa online namun sebaliknya ga bisa, para pimpinan Damri, tolong diperbaiki dong, kalau ga bisa ya pimpinan nya yang diperbaiki",sayang transportasi sangat penting buat maju bangsa beli tiket online semua rute misal manado kotamobagu online balik tidak para pimpin damri baik dong kalau tidak ya pimpin baik,"['sayang', 'transportasi', 'sangat', 'penting', 'buat', 'kemajuan', 'bangsa', 'pembelian', 'tiket', 'harus', 'nya', 'bisa', 'online', 'disemua', 'rute', 'misal', 'manado', 'kotamobagu', 'bisa', 'online', 'namun', 'sebaliknya', 'ga', 'bisa', 'para', 'pimpinan', 'damri', 'tolong', 'diperbaiki', 'dong', 'kalau', 'ga', 'bisa', 'ya', 'pimpinan', 'nya', 'yang', 'diperbaiki']","['sayang', 'transportasi', 'sangat', 'penting', 'buat', 'maju', 'bangsa', 'beli', 'tiket', 'nya', 'online', 'semua', 'rute', 'misal', 'manado', 'kotamobagu', 'online', 'balik', 'tidak', 'para', 'pimpin', 'damri', 'baik', 'dong', 'kalau', 'tidak', 'ya', 'pimpin', 'nya', 'baik']",1,6,3.2.8,2024-01-24 08:50:12,"Halo kak, mohon maaf atas ketidaknyamanannya. Akan menjadi perhatian dan perbaikan kami kedepannya. Mohon dapat dijelaskan terkait kendalanya melalui Layanan Whatsapp ke nomor 081121100825. Terima kasih",2024-01-25 13:17:55
Yolong via Damri beri kabar 1 jam sebelum keberangkatan,yolong via damri beri kabar 1 jam berangkat,"['yolong', 'via', 'damri', 'beri', 'kabar', '1', 'jam', 'sebelum', 'keberangkatan']","['yolong', 'via', 'damri', 'beri', 'kabar', '1', 'jam', 'berangkat']",5,0,,2024-01-24 06:10:36,"Halo kak, terima kasih atas rating yang diberikan. Semoga kami bisa memberikan pelayanan yang lebih baik lagi. Jika kakak memiliki saran dan masukan boleh disampaikan melalui layanan whatsapp DAMRI ke nomor 081121100825 atau melalui Hallo DAMRI 1500825. Terima kasih Sudah menggunakan layanan DAMRI",2024-01-29 11:54:50
Good,good,['good'],['good'],5,0,3.2.8,2024-01-23 00:34:42,"Hallo kak, terima kasih sudah menggunakan Layanan DAMRI",2024-01-23 14:48:27
Masak saya bayar 30 ribu dari tamban sampai malang disuruh duduk di bawah,masak bayar 30 ribu tamban malang suruh duduk bawah,"['masak', 'saya', 'bayar', '30', 'ribu', 'dari', 'tamban', 'sampai', 'malang', 'disuruh', 'duduk', 'di', 'bawah']","['masak', 'bayar', '30', 'ribu', 'tamban', 'malang', 'suruh', 'duduk', 'bawah']",1,0,3.2.8,2024-01-22 07:51:11,"Halo kak, mohon maaf atas ketidaknyamanannya, akan menjadi perhatian dan perbaikan kami kedepannya. Mohon untuk dapat dijelaskan terkait kronologinya melalui layanan whatsapp pengaduan kami ke nomor 081121100825. Terima kasih",2024-01-22 13:58:59
untuk luar jakarta pilihan tujuan nggak lengkap atau nggak ada. harus manual dateng ke kantornya untuk pembelian tiket. percuma,luar jakarta pilih tuju lengkap tidak harus manual dateng kantor beli tiket percuma,"['untuk', 'luar', 'jakarta', 'pilihan', 'tujuan', 'nggak', 'lengkap', 'atau', 'nggak', 'ada', 'harus', 'manual', 'dateng', 'ke', 'kantornya', 'untuk', 'pembelian', 'tiket', 'percuma']","['luar', 'jakarta', 'pilih', 'tuju', 'lengkap', 'tidak', 'harus', 'manual', 'dateng', 'kantor', 'beli', 'tiket', 'percuma']",1,0,,2024-01-20 18:09:15,"Halo kak, mohon maaf atas ketidaknyamanannya. Boleh dibantu untuk rute mana kak?
Akan menjadi perhatian dan perbaikan kami kedepannya. Mohon dapat dijelaskan terkait kendalanya melalui Layanan Whatsapp ke nomor 081121100825. Terima kasih",2024-01-22 15:14:15
app tolol...jakarta jember aja gak ad..malag di ksh jakarta lampung.gak lengkap app idiot,app tololjakarta jember tidak admalag ksh jakarta lampunggak lengkap app idiot,"['app', 'tololjakarta', 'jember', 'aja', 'gak', 'admalag', 'di', 'ksh', 'jakarta', 'lampunggak', 'lengkap', 'app', 'idiot']","['app', 'tololjakarta', 'jember', 'aja', 'tidak', 'admalag', 'ksh', 'jakarta', 'lampunggak', 'lengkap', 'app', 'idiot']",1,0,3.2.8,2024-01-18 20:44:32,"Halo kak, Mohon maaf atas ketidaknyamanannya akan menjadi perhatian dan perbaikan kami kedepannya. Tersedia rute dari Pool Damri Kemayoran (Jakarta) - Pool Damri Jember (Jember). Mohon dapat dijelaskan terkait kendalanya melalui Layanan Whatsapp ke nomor 081121100825. Terima kasih",2024-01-19 13:30:34
"Apk tidak bisa dipakai, error terus. Apalagi untuk pemesanan dalam kota",apk bisa pakai error terus untuk mesan kota,"['apk', 'tidak', 'bisa', 'dipakai', 'error', 'terus', 'apalagi', 'untuk', 'pemesanan', 'dalam', 'kota']","['apk', 'bisa', 'pakai', 'error', 'terus', 'untuk', 'mesan', 'kota']",1,0,3.2.7,2024-01-17 11:44:17,"Halo kak, mohon maaf atas ketidaknyamanannya terkait kendala yang dialami. Akan menjadi perhatian dan perbaikan kami kedepannya. Mohon dapat dijelaskan terkait kendalanya melalui Layanan Whatsapp ke nomor 081121100825. Terima kasih",2024-01-17 11:41:50
Selalu jadwal tidak tersedia niat ga sih buat app,selalu jadwal sedia niat tidak sih buat app,"['selalu', 'jadwal', 'tidak', 'tersedia', 'niat', 'ga', 'sih', 'buat', 'app']","['selalu', 'jadwal', 'sedia', 'niat', 'tidak', 'sih', 'buat', 'app']",1,0,3.2.8,2024-01-17 00:33:51,"Halo kak, mohon maaf atas ketidaknyamanannya, akan menjadi perbaikan dan perhatian kami kedepannya. Boleh dibantu untuk rute mana kak?
Terkait kendala yang terjadi pada aplikasi kami, dapat disampaikan juga melalui layanan Whatsapp ke nomor 081121100825. Terima kasih",2024-01-17 11:45:39
Sya kesini karena liat postingan ig... Mw k balekambang... Tpi selalu jadwal tidak tersedia... H-7 lohh pdahal... Fix hpus lg,sya kesini liat postingan ig mw k balekambang tpi selalu jadwal sedia h7 lohh pdahal fix hpus lg,"['sya', 'kesini', 'karena', 'liat', 'postingan', 'ig', 'mw', 'k', 'balekambang', 'tpi', 'selalu', 'jadwal', 'tidak', 'tersedia', 'h7', 'lohh', 'pdahal', 'fix', 'hpus', 'lg']","['sya', 'kesini', 'liat', 'postingan', 'ig', 'mw', 'k', 'balekambang', 'tpi', 'selalu', 'jadwal', 'sedia', 'h7', 'lohh', 'pdahal', 'fix', 'hpus', 'lg']",1,0,3.2.8,2024-01-16 06:08:51,"Halo kak, mohon maaf atas ketidaknyamanannya. Untuk rute Menuju Balekambang saat ini belum tersedia kak, untuk informasi terbarunya akan segera kami update di DAMRI Apps.Untuk informasi lebih lanjut boleh menghubungi kami melalui Layanan whatsapp ke nomor 081121100825. Terima kasih",2024-01-18 11:49:22
Tertarik download krn di IG ada yg promosiin ada rute surabaya pasarturi ke area bromo.pas di cek jadwal tidak tersedia.jadinya ada gak sih armada yg ke area bromo?,tarik download krn ig promosiin rute surabaya pasarturi area bromopas cek jadwal tersediajadinya tidak sih armada area bromo,"['tertarik', 'download', 'krn', 'di', 'ig', 'ada', 'yg', 'promosiin', 'ada', 'rute', 'surabaya', 'pasarturi', 'ke', 'area', 'bromopas', 'di', 'cek', 'jadwal', 'tidak', 'tersediajadinya', 'ada', 'gak', 'sih', 'armada', 'yg', 'ke', 'area', 'bromo']","['tarik', 'download', 'krn', 'ig', 'yg', 'promosiin', 'rute', 'surabaya', 'pasarturi', 'area', 'bromopas', 'cek', 'jadwal', 'tersediajadinya', 'tidak', 'sih', 'armada', 'yg', 'area', 'bromo']",1,0,3.2.8,2024-01-14 14:49:47,"Halo kak, mohon maaf atas ketidaknyamanannya atas kendala yang kakak alami, akan menjadi perhatian dan perbaikan kami kedepannya. Dari Surabaya ke area bromo tersedia rute dari Pasarturi - Sukapura Bromo. Terkait kendala yang terjadi pada aplikasi kami, mohon dapat disampaikan juga melalui layanan Whatsapp ke nomor 081121100825. Terima kasih",2024-01-17 11:38:51
Jadwal selalu tidak tersedia. Sebenarnya bisa gak sih beli tiket via apps Damri ? Klo gak bisa Close aja Apps nya biar para calon penumpang langsung beli tiket diloket. Dari tanggal 8 Januari loh kaya gitu terus.,jadwal selalu sedia benar tidak sih beli tiket via apps damri klo tidak close apps biar calon tumpang langsung beli tiket loket tanggal 8 januari loh kaya gitu terus,"['jadwal', 'selalu', 'tidak', 'tersedia', 'sebenarnya', 'bisa', 'gak', 'sih', 'beli', 'tiket', 'via', 'apps', 'damri', 'klo', 'gak', 'bisa', 'close', 'aja', 'apps', 'nya', 'biar', 'para', 'calon', 'penumpang', 'langsung', 'beli', 'tiket', 'diloket', 'dari', 'tanggal', '8', 'januari', 'loh', 'kaya', 'gitu', 'terus']","['jadwal', 'selalu', 'sedia', 'benar', 'tidak', 'sih', 'beli', 'tiket', 'via', 'apps', 'damri', 'klo', 'tidak', 'close', 'aja', 'apps', 'nya', 'biar', 'calon', 'tumpang', 'langsung', 'beli', 'tiket', 'loket', 'tanggal', '8', 'januari', 'loh', 'kaya', 'gitu', 'terus']",1,40,3.2.8,2024-01-14 12:40:22,"Halo kak, mohon maaf atas ketidaknyamanannya, akan menjadi perbaikan dan perhatian kami kedepannya.
Boleh dibantu untuk rute mana kak?
Terkait kendala yang terjadi pada aplikasi kami, dapat disampaikan juga melalui layanan Whatsapp ke nomor 081121100825. Terima kasih",2024-01-17 11:24:11
Sampah....,sampah,['sampah'],['sampah'],1,0,,2024-01-13 17:53:50,"Halo kak, mohon maaf atas ketidaknyamanannya. Akan menjadi perhatian dan perbaikan kami kedepannya. Mohon dapat dijelaskan terkait kendalanya melalui Layanan Whatsapp ke nomor 081121100825. Terima kasih",2024-01-17 11:28:47
Awal pertama download bisa nyari jadwal armada. Skr nyetting tujuan kemanapun n dr manapun knp sllu tdk tersedia. Mohon segera diperbaiki,awal pertama download nyari jadwal armada skr nyetting tuju mana n dr mana knp sllu tdk sedia mohon segera baik,"['awal', 'pertama', 'download', 'bisa', 'nyari', 'jadwal', 'armada', 'skr', 'nyetting', 'tujuan', 'kemanapun', 'n', 'dr', 'manapun', 'knp', 'sllu', 'tdk', 'tersedia', 'mohon', 'segera', 'diperbaiki']","['awal', 'pertama', 'download', 'nyari', 'jadwal', 'armada', 'skr', 'nyetting', 'tuju', 'mana', 'n', 'dr', 'mana', 'knp', 'sllu', 'tdk', 'sedia', 'mohon', 'segera', 'baik']",3,0,3.2.8,2024-01-12 21:18:33,"Halo kak, mohon maaf atas ketidaknyamanannya. Akan menjadi perhatian dan perbaikan kami kedepannya. Mohon dapat dijelaskan terkait kendalanya melalui Layanan Whatsapp ke nomor 081121100825. Terima kasih",2024-01-17 11:40:54
Ok,,['ok'],[],5,0,3.2.7,2024-01-12 13:00:51,"Halo kak, terima kasih sudah menggunakan layanan DAMRI",2024-01-17 11:42:18
"Dipencarian sering tidak ditemukan jadwal, padahal ada bnyak kursi kosong. Gak ada pembaruan aplikasi tapi minta diperbarui, gimana sih. Apk karya anak bangsa kok macam ini 🤦",cari sering temu jadwal padahal bnyak kursi kosong tidak baru aplikasi minta baru gimana sih apk karya anak bangsa kok macam,"['dipencarian', 'sering', 'tidak', 'ditemukan', 'jadwal', 'padahal', 'ada', 'bnyak', 'kursi', 'kosong', 'gak', 'ada', 'pembaruan', 'aplikasi', 'tapi', 'minta', 'diperbarui', 'gimana', 'sih', 'apk', 'karya', 'anak', 'bangsa', 'kok', 'macam', 'ini']","['cari', 'sering', 'temu', 'jadwal', 'padahal', 'bnyak', 'kursi', 'kosong', 'tidak', 'baru', 'aplikasi', 'minta', 'baru', 'gimana', 'sih', 'apk', 'karya', 'anak', 'bangsa', 'kok', 'macam']",1,0,,2024-01-12 10:19:35,"Halo kak, mohon maaf atas ketidaknyamanannya, akan menjadi perbaikan dan perhatian kami kedepannya. Boleh dibantu untuk rute mana kak?
Terkait kendala yang terjadi pada aplikasi kami, dapat disampaikan juga melalui layanan Whatsapp ke nomor 081121100825. Terima kasih",2024-01-17 11:44:19
Pertama kali naik DAMRI dapet service yg buruk masak udah bayar tiket duduk di bawah ga di kursi yg seharusnya saya udah pesen,pertama kali naik damri dapet service buruk masak udah bayar tiket duduk bawah tidak kursi saya udah sen,"['pertama', 'kali', 'naik', 'damri', 'dapet', 'service', 'yg', 'buruk', 'masak', 'udah', 'bayar', 'tiket', 'duduk', 'di', 'bawah', 'ga', 'di', 'kursi', 'yg', 'seharusnya', 'saya', 'udah', 'pesen']","['pertama', 'kali', 'naik', 'damri', 'dapet', 'service', 'yg', 'buruk', 'masak', 'udah', 'bayar', 'tiket', 'duduk', 'bawah', 'tidak', 'kursi', 'yg', 'saya', 'udah', 'sen']",1,0,,2024-01-11 23:43:44,"Halo kak, mohon maaf atas ketidaknyamannya akan menjadi perhatian dan perbaikan kami kedepannya. Mohon dibantu untuk rute tujuan mana kak?
Terkait ketidaknyamanan atas service yang kakak dapatkan, mohon dapat dijelaskan melalui layanan whatsapp kami ke nomor 081121100825. Terima kasih",2024-01-17 11:52:33
Min tolong jawab... Rute sri tanjung ke kawah ijen koq tidak tersedia... apakah damri sudah tidak melayani rute tersebut,min jawab rute sri tanjung kawah ijen koq sedia damri tidak layan rute sebut,"['min', 'tolong', 'jawab', 'rute', 'sri', 'tanjung', 'ke', 'kawah', 'ijen', 'koq', 'tidak', 'tersedia', 'apakah', 'damri', 'sudah', 'tidak', 'melayani', 'rute', 'tersebut']","['min', 'jawab', 'rute', 'sri', 'tanjung', 'kawah', 'ijen', 'koq', 'sedia', 'damri', 'tidak', 'layan', 'rute', 'sebut']",3,0,3.2.7,2024-01-11 22:40:53,"Halo kak, mohon maaf atas ketidaknyamanannya. Untuk rute Sritanjung - Kawah Ijen masih tersedia. Untuk informasi lebih lanjut terkait layanan dan jadwalnya dapat menghubungi kami melalui layanan whatsapp ke nomor 081121100825. Terima kasih",2024-01-17 11:58:03
Jelek njs,jelek njs,"['jelek', 'njs']","['jelek', 'njs']",1,0,,2024-01-11 20:06:00,"Halo kak, mohon maaf atas ketidaknyamanannya. Mohon dapat dijelaskan untuk kendalanya melalui layanan whatsapp kami ke nomor 081121100825. Terima kasih",2024-01-17 12:00:42
Cari tiketnya kok kosong terus ya,cari tiket kok kosong terus,"['cari', 'tiketnya', 'kok', 'kosong', 'terus', 'ya']","['cari', 'tiket', 'kok', 'kosong', 'terus']",1,0,3.2.7,2024-01-11 07:32:50,"Halo kak, mohon maaf atas ketidaknyamanannya. Boleh dibantu infokan untuk rute mana?
Terkait kendala yang dialami pada aplikasi kami, dapat juga menghubungi kami melalui Layanan Whatsapp ke nomor 081121100825. Terima kasih",2024-01-17 12:03:02
Gak jelas,tidak jelas,"['gak', 'jelas']","['tidak', 'jelas']",1,0,3.2.7,2024-01-07 07:54:51,"Halo kak, mohon maaf atas ketidaknyamanannya. Mohon dapat dijelaskan untuk kendalanya melalui layanan whatsapp kami ke nomor 081121100825. Terima kasih",2024-01-17 12:10:50
"Layanan masih blm profesional, uninstall dulu",layan blm profesional uninstall dulu,"['layanan', 'masih', 'blm', 'profesional', 'uninstall', 'dulu']","['layan', 'blm', 'profesional', 'uninstall', 'dulu']",2,0,,2024-01-06 21:15:33,"Halo kak, mohon maaf atas ketidaknyamanannya akan menjadi perhatian dan perbaikan kami kedepannya. Mohon dapat dijelaskan untuk kendalanya melalui layanan whatsapp kami ke nomor 081121100825. Terima kasih",2024-01-17 12:13:45
Jelek banget ini apps Masa iya cari rute udah setting tanggal sampe 2 Minggu kedepan g muncul jadwal sama sekali,jelek banget apps masa iya cari rute udah setting tanggal sampe 2 minggu depan tidak muncul jadwal sama sekali,"['jelek', 'banget', 'ini', 'apps', 'masa', 'iya', 'cari', 'rute', 'udah', 'setting', 'tanggal', 'sampe', '2', 'minggu', 'kedepan', 'g', 'muncul', 'jadwal', 'sama', 'sekali']","['jelek', 'banget', 'apps', 'masa', 'iya', 'cari', 'rute', 'udah', 'setting', 'tanggal', 'sampe', '2', 'minggu', 'depan', 'tidak', 'muncul', 'jadwal', 'sama', 'sekali']",1,0,3.2.7,2024-01-06 14:25:00,"Halo kak, mohon maaf atas ketidaknyamanannya akan menjadi perhatian dan perbaikan kami kedepannya. Mohon dapat dijelaskan untuk kendalanya melalui layanan whatsapp kami ke nomor 081121100825. Terima kasih",2024-01-17 12:15:28
"di apps,sama sekali tidak menemukan jadwal.😓",appssama sekali temu jadwal,"['di', 'appssama', 'sekali', 'tidak', 'menemukan', 'jadwal']","['appssama', 'sekali', 'temu', 'jadwal']",3,0,3.2.7,2024-01-06 11:42:45,"Halo kak, mohon maaf atas ketidaknyamanannya akan menjadi perhatian dan perbaikan kami kedepannya. Boleh dibantu untuk jadwal rute mana kak?
Mohon dapat dijelaskan untuk kendalanya melalui layanan whatsapp kami ke nomor 081121100825. Terima kasih",2024-01-17 12:15:13
"Terlalu banyak bug, kok sering tidak tersedia. Tolong upgrade lebih baik lagi",terlalu banyak bug kok sering sedia upgrade lebih baik,"['terlalu', 'banyak', 'bug', 'kok', 'sering', 'tidak', 'tersedia', 'tolong', 'upgrade', 'lebih', 'baik', 'lagi']","['terlalu', 'banyak', 'bug', 'kok', 'sering', 'sedia', 'upgrade', 'lebih', 'baik']",1,0,3.2.7,2024-01-05 05:48:27,"Halo kak, mohon maaf atas ketidaknyamanannya akan menjadi perhatian dan perbaikan kami kedepannya. Mohon dapat dijelaskan untuk kendalanya melalui layanan whatsapp kami ke nomor 081121100825. Terima kasih",2024-01-17 12:15:50
"Buruk, jadwal kosong",buruk jadwal kosong,"['buruk', 'jadwal', 'kosong']","['buruk', 'jadwal', 'kosong']",1,0,3.2.7,2024-01-05 04:34:12,"Halo kak, mohon maaf atas ketidaknyamanannya akan menjadi perhatian dan perbaikan kami kedepannya. Boleh dibantu untuk rute mana?
Mohon dapat dijelaskan untuk kendalanya melalui layanan whatsapp kami ke nomor 081121100825. Terima kasih",2024-01-17 12:17:46
Mau cari tiket di acak tanggal berapapun jadwal tidak tersedia terus,mau cari tiket acak tanggal berapa jadwal sedia terus,"['mau', 'cari', 'tiket', 'di', 'acak', 'tanggal', 'berapapun', 'jadwal', 'tidak', 'tersedia', 'terus']","['mau', 'cari', 'tiket', 'acak', 'tanggal', 'berapa', 'jadwal', 'sedia', 'terus']",1,0,3.2.7,2024-01-04 17:18:14,"Halo kak, mohon maaf atas ketidaknyamanannya akan menjadi perhatian dan perbaikan kami kedepannya. Boleh dibantu untuk rute mana? Mohon dapat dijelaskan untuk kendalanya melalui layanan whatsapp kami ke nomor 081121100825. Terima kasih",2024-01-17 13:27:57
"Setiap mau beli tiket selalu tdk ada jadwalnya, apakah dr malang ke arah pantai Sindang biru atau bale kambang Memang sdh tdk ada jadwal yah?? Bintang 3 dulu klo ada perubahan bs nmbah bintangnya🙏🏻",tiap mau beli tiket selalu tdk jadwal dr malang arah pantai sindang biru bale kambang memang sdh tdk jadwal yah bintang 3 dulu klo ubah bs nmbah bintang,"['setiap', 'mau', 'beli', 'tiket', 'selalu', 'tdk', 'ada', 'jadwalnya', 'apakah', 'dr', 'malang', 'ke', 'arah', 'pantai', 'sindang', 'biru', 'atau', 'bale', 'kambang', 'memang', 'sdh', 'tdk', 'ada', 'jadwal', 'yah', 'bintang', '3', 'dulu', 'klo', 'ada', 'perubahan', 'bs', 'nmbah', 'bintangnya']","['tiap', 'mau', 'beli', 'tiket', 'selalu', 'tdk', 'jadwal', 'dr', 'malang', 'arah', 'pantai', 'sindang', 'biru', 'bale', 'kambang', 'memang', 'sdh', 'tdk', 'jadwal', 'yah', 'bintang', '3', 'dulu', 'klo', 'ubah', 'bs', 'nmbah', 'bintang']",3,0,3.2.7,2024-01-04 06:35:18,"Halo kak, mohon maaf atas ketidaknyamanannya akan menjadi perhatian dan perbaikan kami kedepannya. Untuk rute Pool DAMRI Malang ke Sindang biru Masih tersedia dengan jadwal Pukul 07.00. Mohon untuk kendalanya dapat disampaikan melalui layanan whatsapp kami ke nomor 081121100825. Terima kasih sudah menggunakan layanan DAMRI
",2024-01-17 13:22:53
Gak ada pilihan tiket bus dari kab. Bandung ke kota Bandung !,tidak pilih tiket bus kab bandung kota bandung,"['gak', 'ada', 'pilihan', 'tiket', 'bus', 'dari', 'kab', 'bandung', 'ke', 'kota', 'bandung']","['tidak', 'pilih', 'tiket', 'bus', 'kab', 'bandung', 'kota', 'bandung']",1,0,,2024-01-03 18:29:55,"Halo kak, mohon maaf atas ketidaknyamanannya akan menjadi perhatian dan evaluasi kami kedepannya. Terkait kendalanya dapat disampaikan melalui layanan whatsapp kami ke nomor 081121100825. Terima kasih",2024-01-17 12:35:57
"Pelayanan kurang, Pembayaran di persulit, pembayaran dibayarkan melalui yg tertera di aplikasi, ternyata ga bisa dibayar..",layan kurang bayar sulit bayar bayar lalu tera aplikasi nyata tidak bayar,"['pelayanan', 'kurang', 'pembayaran', 'di', 'persulit', 'pembayaran', 'dibayarkan', 'melalui', 'yg', 'tertera', 'di', 'aplikasi', 'ternyata', 'ga', 'bisa', 'dibayar']","['layan', 'kurang', 'bayar', 'sulit', 'bayar', 'bayar', 'lalu', 'yg', 'tera', 'aplikasi', 'nyata', 'tidak', 'bayar']",1,6,3.2.7,2024-01-03 11:27:08,"Halo kak, mohon maaf atas ketidaknyamanannya akan menjadi perhatian dan perbaikan kami kedepannya. Boleh dibantu untuk pembayarannya melalui apa kak?
Mohon dapat dijelaskan untuk kendalanya melalui layanan whatsapp kami ke nomor 081121100825. Terima kasih",2024-01-17 12:45:59
Kabupaten Melawi kok belum ada..,kabupaten lawi kok ada,"['kabupaten', 'melawi', 'kok', 'belum', 'ada']","['kabupaten', 'lawi', 'kok', 'ada']",2,0,,2024-01-03 11:03:40,"Halo kak, mohon maaf atas ketidaknyamanannya. Boleh dibantu untuk detail rutenya kemana?
Mohon dapat dijelaskan untuk kendalanya melalui layanan whatsapp kami ke nomor 081121100825. Terima kasih",2024-01-17 13:15:55
Gimana sih sekarang kok jadwal tidak tersedia terus tiap mau pesen tiket,gimana sih sekarang kok jadwal sedia terus tiap mau sen tiket,"['gimana', 'sih', 'sekarang', 'kok', 'jadwal', 'tidak', 'tersedia', 'terus', 'tiap', 'mau', 'pesen', 'tiket']","['gimana', 'sih', 'sekarang', 'kok', 'jadwal', 'sedia', 'terus', 'tiap', 'mau', 'sen', 'tiket']",1,0,3.2.7,2024-01-02 14:34:57,"Halo kak, mohon maaf atas ketidaknyamanannya akan menjadi perhatian dan perbaikan kami kedepannya. Boleh dibantu infokan untuk jadwal rute mana?
Mohon dapat dijelaskan untuk kendalanya melalui layanan whatsapp kami ke nomor 081121100825. Terima kasih",2024-01-17 12:54:25
